Ref,Val,Package,PosX,PosY,Rot,Side
"R24","22R","R_0603_1608Metric",67.842500,28.435000,0.000000,top
"R25","4.7K","R_0603_1608Metric",48.214750,-16.310000,0.000000,top
"R26","4.7K","R_0603_1608Metric",48.214750,-17.840000,0.000000,top
"R27","4.7K","R_0603_1608Metric",55.954750,-10.030000,180.000000,top
"R28","4.7K","R_0603_1608Metric",58.264750,-10.800000,-90.000000,top
"R29","47K","R_0603_1608Metric",21.730000,9.440000,90.000000,top
"R30","47K","R_0603_1608Metric",23.250000,9.435000,90.000000,top
"R31","100K","R_0603_1608Metric",27.220000,11.760000,0.000000,top
"R32","100K","R_0603_1608Metric",27.225000,13.290000,0.000000,top
"R33","2.7K","R_0603_1608Metric",22.630000,25.805000,90.000000,top
"R34","10K","R_0603_1608Metric",31.120000,12.540000,-90.000000,top
"R35","470R","R_0603_1608Metric",24.780000,9.445000,90.000000,top
"R36","470R","R_0603_1608Metric",29.560000,12.500000,90.000000,top
"R37","22R","R_0603_1608Metric",83.592500,29.615000,180.000000,top
"R38","22R","R_0603_1608Metric",83.592500,26.505000,180.000000,top
"R39","51K","R_0603_1608Metric",83.592500,28.065000,180.000000,top
"R40","75R","R_0603_1608Metric",70.080000,-43.320000,90.000000,top
"R41","75R","R_0603_1608Metric",68.550000,-43.315000,90.000000,top
"R42","2.2K","R_0603_1608Metric",77.072500,17.425000,180.000000,top
"R43","150R","R_0603_1608Metric",51.344750,-21.950000,180.000000,top
"R47","0R","R_0603_1608Metric",82.652500,22.015000,90.000000,top
"R48","1K","R_0603_1608Metric",56.050000,29.615000,90.000000,top
"R49","10K","R_0603_1608Metric",57.590000,29.615000,-90.000000,top
"R50","DNP","R_0603_1608Metric",37.792250,-1.055000,90.000000,top
"R51","DNP","R_0603_1608Metric",20.410000,24.550000,-90.000000,top
"R52","100K","R_0603_1608Metric",18.170000,24.475000,-90.000000,top
"T1","H1102NL","H1102NL",72.885000,-34.575000,90.000000,top
"U4","FE1.1s","SSOP-28_3.9x9.9mm_P0.635mm",26.770000,19.180000,-90.000000,top
"U5","RP2040","RP2040-QFN-56",36.037250,-7.680000,180.000000,top
"U6","MAX485E","SOIC127P600X175-8N",47.057250,-4.910000,180.000000,top
"U7","W25Q128JVS","SOIC-8_5.23x5.23mm_P1.27mm",36.197250,-16.455000,180.000000,top
"U9","PCF8563T","SOIC-8_3.9x4.9mm_P1.27mm",53.549750,-18.410000,180.000000,top
"Y1","Crystal_GND24","Crystal_SMD_3225-4Pin_3.2x2.5mm",37.362250,2.605000,-90.000000,top
"Y2","32.768 KHz","Crystal_AT310_D3.0mm_L10.0mm_Horizontal",61.034750,-30.040000,180.000000,top
"Y3","Crystal_GND24","Crystal_SMD_3225-4Pin_3.2x2.5mm",29.970000,26.590000,-90.000000,top
